店舗ID: 17010524, 小松 弥助, 金沢市 / 寿司, 評価：4.3, 口コミ：689件
店舗ID: 17012585, 蛤坂 まえかわ, 金沢市 / 焼き鳥, 評価：4.28, 口コミ：132件
店舗ID: 17000107, 乙女寿司, 金沢市 / 寿司, 評価：4.27, 口コミ：576件
店舗ID: 17015162, 木佐貫, 金沢市 / 日本料理, 評価：4.23, 口コミ：73件
店舗ID: 17009914, Installation Table ENSO L'asymetrie du calme, 金沢市 / フレンチ、イノベーティブ, 評価：4.15, 口コミ：286件
店舗ID: 17009514, 天ぷら 小泉, 金沢市 / 天ぷら, 評価：4.11, 口コミ：173件
店舗ID: 17010062, 鮨 木場谷, 金沢市 / 寿司, 評価：4.01, 口コミ：272件
店舗ID: 17013784, 台所 スゴロク, 金沢市 / 日本料理、串焼き, 評価：3.07, 口コミ：6件
店舗ID: 17004391, まさみ, 金沢市 / レストラン、日本料理, 評価：3.05, 口コミ：6件
店舗ID: 17011166, 片折, 金沢市 / 日本料理, 評価：4.69, 口コミ：416件
店舗ID: 17010732, レスピラシオン, 金沢市 / スペイン料理、イノベーティブ、創作料理, 評価：4.51, 口コミ：469件
店舗ID: 17012300, マキノンチ, 金沢市 / フレンチ, 評価：4.32, 口コミ：141件
店舗ID: 17010524, 小松 弥助, 金沢市 / 寿司, 評価：4.3, 口コミ：689件
店舗ID: 17012585, 蛤坂 まえかわ, 金沢市 / 焼き鳥, 評価：4.28, 口コミ：132件
店舗ID: 17000107, 乙女寿司, 金沢市 / 寿司, 評価：4.27, 口コミ：576件
店舗ID: 17015162, 木佐貫, 金沢市 / 日本料理, 評価：4.23, 口コミ：73件
店舗ID: 17009914, Installation Table ENSO L'asymetrie du calme, 金沢市 / フレンチ、イノベーティブ, 評価：4.15, 口コミ：286件
店舗ID: 17009514, 天ぷら 小泉, 金沢市 / 天ぷら, 評価：4.11, 口コミ：173件
店舗ID: 17010062, 鮨 木場谷, 金沢市 / 寿司, 評価：4.01, 口コミ：272件
店舗ID: 17014443, ヤキトリ オモウツボ, 金沢市 / 焼き鳥、居酒屋, 評価：3.13, 口コミ：11件
店舗ID: 17001252, パパロク 片町店, 金沢市 / 居酒屋、肉料理, 評価：3.0, 口コミ：1件
店舗ID: 17014511, かなざわにじのま, 金沢市 / その他, 評価：4.69, 口コミ：1件
